"","doy","2002_NDVI","2003_NDVI","2004_NDVI","2005_NDVI","2006_NDVI","2007_NDVI","2008_NDVI","2009_NDVI","2010_NDVI","2011_NDVI","2012_NDVI","2013_NDVI","2014_NDVI","2015_NDVI"
"101",213,NA,NA,NA,NA,9192,NA,8601,8775,NA,NA,8608,7875,NA,9052
"102",214,NA,NA,NA,NA,9192,NA,8601,8775,NA,NA,8608,7875,NA,9052
"103",215,NA,NA,NA,NA,9192,NA,8601,8775,NA,NA,8608,7875,NA,9052
"104",216,NA,NA,NA,NA,9192,NA,8601,8775,NA,NA,8608,7875,NA,9052
"105",217,NA,NA,NA,8893,8960,9314,8689,9094,NA,NA,8625,NA,7726,9114
"106",218,NA,NA,NA,8893,8960,9314,8689,9094,NA,NA,8625,NA,7726,9114
"107",219,NA,NA,NA,8893,8960,9314,8689,9094,NA,NA,8625,NA,7726,9114
"108",220,NA,NA,NA,8893,8960,9314,8689,9094,NA,NA,8625,NA,7726,9114
"109",221,NA,NA,NA,8893,8960,9314,8689,9094,NA,NA,8625,NA,7726,9114
"110",222,NA,NA,NA,8893,8960,9314,8689,9094,NA,NA,8625,NA,7726,9114
"111",223,NA,NA,NA,8893,8960,9314,8689,9094,NA,NA,8625,NA,7726,9114
"112",224,NA,NA,NA,8893,8960,9314,8689,9094,NA,NA,8625,NA,7726,9114
"113",225,NA,8811,NA,NA,8928,8852,8801,NA,8270,9005,8482,NA,8781,8963
"114",226,NA,8811,NA,NA,8928,8852,8801,NA,8270,9005,8482,NA,8781,8963
"115",227,NA,8811,NA,NA,8928,8852,8801,NA,8270,9005,8482,NA,8781,8963
"116",228,NA,8811,NA,NA,8928,8852,8801,NA,8270,9005,8482,NA,8781,8963
"117",229,NA,8811,NA,NA,8928,8852,8801,NA,8270,9005,8482,NA,8781,8963
"118",230,NA,8811,NA,NA,8928,8852,8801,NA,8270,9005,8482,NA,8781,8963
"119",231,NA,8811,NA,NA,8928,8852,8801,NA,8270,9005,8482,NA,8781,8963
"120",232,NA,8811,NA,NA,8928,8852,8801,NA,8270,9005,8482,NA,8781,8963
"121",233,2874,9054,8702,9029,8406,9016,8690,NA,6943,8878,8172,NA,NA,NA
"122",234,2874,9054,8702,9029,8406,9016,8690,NA,6943,8878,8172,NA,NA,NA
"123",235,2874,9054,8702,9029,8406,9016,8690,NA,6943,8878,8172,NA,NA,NA
"124",236,2874,9054,8702,9029,8406,9016,8690,NA,6943,8878,8172,NA,NA,NA
"125",237,2874,9054,8702,9029,8406,9016,8690,NA,6943,8878,8172,NA,NA,NA
"126",238,2874,9054,8702,9029,8406,9016,8690,NA,6943,8878,8172,NA,NA,NA
"127",239,2874,9054,8702,9029,8406,9016,8690,NA,6943,8878,8172,NA,NA,NA
"128",240,2874,9054,8702,9029,8406,9016,8690,NA,6943,8878,8172,NA,NA,NA
"129",241,8246,8658,NA,7496,NA,8597,8493,NA,6220,8018,6848,8120,NA,NA
"130",242,8246,8658,NA,7496,NA,8597,8493,NA,6220,8018,6848,8120,NA,NA
"131",243,8246,8658,NA,7496,NA,8597,8493,NA,6220,8018,6848,8120,NA,NA
"132",244,8246,8658,NA,7496,NA,8597,8493,NA,6220,8018,6848,8120,NA,NA
"133",245,8246,8658,NA,7496,NA,8597,8493,NA,6220,8018,6848,8120,NA,NA
"134",246,8246,8658,NA,7496,NA,8597,8493,NA,6220,8018,6848,8120,NA,NA
"135",247,8246,8658,NA,7496,NA,8597,8493,NA,6220,8018,6848,8120,NA,NA
"136",248,8246,8658,NA,7496,NA,8597,8493,NA,6220,8018,6848,8120,NA,NA
"137",249,5452,7956,8645,4976,NA,7583,NA,NA,4521,NA,5509,7351,NA,NA
"138",250,5452,7956,8645,4976,NA,7583,NA,NA,4521,NA,5509,7351,NA,NA
"139",251,5452,7956,8645,4976,NA,7583,NA,NA,4521,NA,5509,7351,NA,NA
"140",252,5452,7956,8645,4976,NA,7583,NA,NA,4521,NA,5509,7351,NA,NA
"141",253,5452,7956,8645,4976,NA,7583,NA,NA,4521,NA,5509,7351,NA,NA
"142",254,5452,7956,8645,4976,NA,7583,NA,NA,4521,NA,5509,7351,NA,NA
"143",255,5452,7956,8645,4976,NA,7583,NA,NA,4521,NA,5509,7351,NA,NA
"144",256,5452,7956,8645,4976,NA,7583,NA,NA,4521,NA,5509,7351,NA,NA
"145",257,NA,5700,NA,NA,4429,NA,NA,4801,NA,5696,3832,7350,6041,5729
"146",258,NA,5700,NA,NA,4429,NA,NA,4801,NA,5696,3832,7350,6041,5729
"147",259,NA,5700,NA,NA,4429,NA,NA,4801,NA,5696,3832,7350,6041,5729
"148",260,NA,5700,NA,NA,4429,NA,NA,4801,NA,5696,3832,7350,6041,5729
"149",261,NA,5700,NA,NA,4429,NA,NA,4801,NA,5696,3832,7350,6041,5729
"150",262,NA,5700,NA,NA,4429,NA,NA,4801,NA,5696,3832,7350,6041,5729
"151",263,NA,5700,NA,NA,4429,NA,NA,4801,NA,5696,3832,7350,6041,5729
"152",264,NA,5700,NA,NA,4429,NA,NA,4801,NA,5696,3832,7350,6041,5729
"153",265,3820,NA,NA,NA,3303,3379,3923,NA,2716,3645,NA,5553,NA,4011
"154",266,3820,NA,NA,NA,3303,3379,3923,NA,2716,3645,NA,5553,NA,4011
"155",267,3820,NA,NA,NA,3303,3379,3923,NA,2716,3645,NA,5553,NA,4011
