doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
72,2719.29,2114.766,2130.373,2036.13,2251.762,2421.088,2122.505,2519.722,2277.508,NA,2363.471,2102.131,NA,2324.508,2241.148,2320.621
73,2440.644,NA,2179.121,2066.073,2291.78,2408.959,2603.316,2566.741,2282.147,2147.141,2346.581,2344.979,2563.547,2309.708,2238.238,2920.247
74,2440.644,NA,2179.121,2066.073,2291.78,2408.959,2603.316,2566.741,2282.147,2147.141,2346.581,2344.979,2563.547,2309.708,2238.238,2920.247
75,2440.644,NA,2179.121,2066.073,2291.78,2408.959,2603.316,2566.741,2282.147,2147.141,2346.581,2344.979,2563.547,2309.708,2238.238,2920.247
76,2440.644,NA,2179.121,2066.073,2291.78,2408.959,2603.316,2566.741,2282.147,2147.141,2346.581,2344.979,2563.547,2309.708,2238.238,2920.247
77,2440.644,NA,2179.121,2066.073,2291.78,2408.959,2603.316,2566.741,2282.147,2147.141,2346.581,2344.979,2563.547,2309.708,2238.238,2920.247
78,2440.644,NA,2179.121,2066.073,2291.78,2408.959,2603.316,2566.741,2282.147,2147.141,2346.581,2344.979,2563.547,2309.708,2238.238,2920.247
79,2440.644,NA,2179.121,2066.073,2291.78,2408.959,2603.316,2566.741,2282.147,2147.141,2346.581,2344.979,2563.547,2309.708,2238.238,2920.247
80,2440.644,NA,2179.121,2066.073,2291.78,2408.959,2603.316,2566.741,2282.147,2147.141,2346.581,2344.979,2563.547,2309.708,2238.238,2920.247
81,2408.231,2221.41,2394.46,2094.805,2523.945,NA,2847.173,2532.012,2503.829,NA,NA,3073.738,2487.389,NA,2343.958,2669.718
82,2408.231,2221.41,2394.46,2094.805,2523.945,NA,2847.173,2532.012,2503.829,NA,NA,3073.738,2487.389,NA,2343.958,2669.718
83,2408.231,2221.41,2394.46,2094.805,2523.945,NA,2847.173,2532.012,2503.829,NA,NA,3073.738,2487.389,NA,2343.958,2669.718
84,2408.231,2221.41,2394.46,2094.805,2523.945,NA,2847.173,2532.012,2503.829,NA,NA,3073.738,2487.389,NA,2343.958,2669.718
85,2408.231,2221.41,2394.46,2094.805,2523.945,NA,2847.173,2532.012,2503.829,NA,NA,3073.738,2487.389,NA,2343.958,2669.718
86,2408.231,2221.41,2394.46,2094.805,2523.945,NA,2847.173,2532.012,2503.829,NA,NA,3073.738,2487.389,NA,2343.958,2669.718
87,2408.231,2221.41,2394.46,2094.805,2523.945,NA,2847.173,2532.012,2503.829,NA,NA,3073.738,2487.389,NA,2343.958,2669.718
88,2408.231,2221.41,2394.46,2094.805,2523.945,NA,2847.173,2532.012,2503.829,NA,NA,3073.738,2487.389,NA,2343.958,2669.718
89,NA,2147.508,2469.994,2398.088,2482.891,2698.912,2953.99,2754.93,2619.921,NA,2496.359,3546.424,2710.406,2567.157,2476.842,2791.489
90,NA,2147.508,2469.994,2398.088,2482.891,2698.912,2953.99,2754.93,2619.921,NA,2496.359,3546.424,2710.406,2567.157,2476.842,2791.489
91,NA,2147.508,2469.994,2398.088,2482.891,2698.912,2953.99,2754.93,2619.921,NA,2496.359,3546.424,2710.406,2567.157,2476.842,2791.489
92,NA,2147.508,2469.994,2398.088,2482.891,2698.912,2953.99,2754.93,2619.921,NA,2496.359,3546.424,2710.406,2567.157,2476.842,2791.489
