"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"57",57,NA,2313.63356901321,NA,NA,2253.44580039149,NA,NA,2686.81780016793,NA,NA,2036.02209873715,2274.93578435926,NA,2225.86691658857,1833.89985765795,3059.45647675539
"58",58,NA,2313.63356901321,NA,NA,2253.44580039149,NA,NA,2686.81780016793,NA,NA,2036.02209873715,2274.93578435926,NA,2225.86691658857,1833.89985765795,3059.45647675539
"59",59,NA,2313.63356901321,NA,NA,2253.44580039149,NA,NA,2686.81780016793,NA,NA,2036.02209873715,2274.93578435926,NA,2225.86691658857,1833.89985765795,3059.45647675539
"60",60,NA,2313.63356901321,NA,NA,2253.44580039149,NA,NA,2686.81780016793,NA,NA,2036.02209873715,2274.93578435926,NA,2225.86691658857,1833.89985765795,3059.45647675539
"61",61,NA,2313.63356901321,NA,NA,2253.44580039149,NA,NA,2686.81780016793,NA,NA,2036.02209873715,2274.93578435926,NA,2225.86691658857,1833.89985765795,3059.45647675539
"62",62,NA,2313.63356901321,NA,NA,2253.44580039149,NA,NA,2686.81780016793,NA,NA,2036.02209873715,2274.93578435926,NA,2225.86691658857,1833.89985765795,3059.45647675539
"63",63,NA,2313.63356901321,NA,NA,2253.44580039149,NA,NA,2686.81780016793,NA,NA,2036.02209873715,2274.93578435926,NA,2225.86691658857,1833.89985765795,3059.45647675539
"64",64,NA,2313.63356901321,NA,NA,2253.44580039149,NA,NA,2686.81780016793,NA,NA,2036.02209873715,2274.93578435926,NA,2225.86691658857,1833.89985765795,3059.45647675539
"65",65,2872.19501309094,NA,NA,2450.65682364617,2199.42024167835,NA,2127.45594064275,2370.48717677127,2129.54619769864,NA,NA,NA,NA,2398.48914069877,NA,2854.37081595032
"66",66,2872.19501309094,NA,NA,2450.65682364617,2199.42024167835,NA,2127.45594064275,2370.48717677127,2129.54619769864,NA,NA,NA,NA,2398.48914069877,NA,2854.37081595032
"67",67,2872.19501309094,NA,NA,2450.65682364617,2199.42024167835,NA,2127.45594064275,2370.48717677127,2129.54619769864,NA,NA,NA,NA,2398.48914069877,NA,2854.37081595032
"68",68,2872.19501309094,NA,NA,2450.65682364617,2199.42024167835,NA,2127.45594064275,2370.48717677127,2129.54619769864,NA,NA,NA,NA,2398.48914069877,NA,2854.37081595032
"69",69,2872.19501309094,NA,NA,2450.65682364617,2199.42024167835,NA,2127.45594064275,2370.48717677127,2129.54619769864,NA,NA,NA,NA,2398.48914069877,NA,2854.37081595032
"70",70,2872.19501309094,NA,NA,2450.65682364617,2199.42024167835,NA,2127.45594064275,2370.48717677127,2129.54619769864,NA,NA,NA,NA,2398.48914069877,NA,2854.37081595032
"71",71,2872.19501309094,NA,NA,2450.65682364617,2199.42024167835,NA,2127.45594064275,2370.48717677127,2129.54619769864,NA,NA,NA,NA,2398.48914069877,NA,2854.37081595032
"72",72,2872.19501309094,NA,NA,2450.65682364617,2199.42024167835,NA,2127.45594064275,2370.48717677127,2129.54619769864,NA,NA,NA,NA,2398.48914069877,NA,2854.37081595032
"73",73,2686.26951936373,NA,2410.05946349711,2305.35529843815,2247.61508624919,NA,2367.46419740294,2445.63487767177,2217.3060744251,2399.95573488107,NA,2282.50246933583,2313.36831008414,2180.89990817264,2192.5140526454,2952.88864589029
